task_id,CIK,group,seed,Q_alpha0,Q_plus,Q_minus,plus_minus_alpha0,minus_minus_alpha0,alpha0_terminal,alpha0_reason,alpha0_training_configuration_id,alpha0_training_backend,plus_terminal,plus_reason,plus_training_configuration_id,plus_training_backend,minus_terminal,minus_reason,minus_training_configuration_id,minus_training_backend
task_019080fcd9b533bb3e8ea2d36fd00b1ff1cb6904e94296854032e8c9162571da,cik:0000021344,other_financial,11,0,0,0,0,0,response_budget_exhausted,no_final,training_configuration:66e33251935910fe6c18c3aaafd50ad045d1f4946a1be1688da3a4b097bdf34d,single_GPU,response_budget_exhausted,no_final,training_configuration:66e33251935910fe6c18c3aaafd50ad045d1f4946a1be1688da3a4b097bdf34d,single_GPU,response_budget_exhausted,no_final,training_configuration:66e33251935910fe6c18c3aaafd50ad045d1f4946a1be1688da3a4b097bdf34d,single_GPU
task_019080fcd9b533bb3e8ea2d36fd00b1ff1cb6904e94296854032e8c9162571da,cik:0000021344,other_financial,29,0,0,0,0,0,response_budget_exhausted,no_final,training_configuration:66e33251935910fe6c18c3aaafd50ad045d1f4946a1be1688da3a4b097bdf34d,single_GPU,response_budget_exhausted,no_final,training_configuration:66e33251935910fe6c18c3aaafd50ad045d1f4946a1be1688da3a4b097bdf34d,single_GPU,response_budget_exhausted,no_final,training_configuration:66e33251935910fe6c18c3aaafd50ad045d1f4946a1be1688da3a4b097bdf34d,single_GPU
task_019080fcd9b533bb3e8ea2d36fd00b1ff1cb6904e94296854032e8c9162571da,cik:0000021344,other_financial,47,0,0,0,0,0,response_budget_exhausted,no_final,training_configuration:66e33251935910fe6c18c3aaafd50ad045d1f4946a1be1688da3a4b097bdf34d,single_GPU,response_budget_exhausted,no_final,training_configuration:66e33251935910fe6c18c3aaafd50ad045d1f4946a1be1688da3a4b097bdf34d,single_GPU,first_final,assessment.final_selected_actual_period,training_configuration:9959a7beb582708e6e56e89a63d55e5cb44f2a2f524eadaef711ce1b3070e76d,8GPU_global_SUM
task_02e4542ceffef12de844a17d56f2b4a6548619303c938d5280b32febeec0f99f,cik:0000804328,composition_required,11,0,0,0,0,0,first_final,assessment.mean_requires_all_three_actual_interval_amounts,training_configuration:66e33251935910fe6c18c3aaafd50ad045d1f4946a1be1688da3a4b097bdf34d,single_GPU,first_final,assessment.mean_requires_all_three_actual_interval_amounts,training_configuration:66e33251935910fe6c18c3aaafd50ad045d1f4946a1be1688da3a4b097bdf34d,single_GPU,first_final,assessment.mean_requires_all_three_actual_interval_amounts,training_configuration:66e33251935910fe6c18c3aaafd50ad045d1f4946a1be1688da3a4b097bdf34d,single_GPU
task_02e4542ceffef12de844a17d56f2b4a6548619303c938d5280b32febeec0f99f,cik:0000804328,composition_required,29,0,1,0,1,0,first_final,assessment.mean_requires_all_three_actual_interval_amounts,training_configuration:66e33251935910fe6c18c3aaafd50ad045d1f4946a1be1688da3a4b097bdf34d,single_GPU,first_final,PASS,training_configuration:66e33251935910fe6c18c3aaafd50ad045d1f4946a1be1688da3a4b097bdf34d,single_GPU,first_final,assessment.mean_requires_all_three_actual_interval_amounts,training_configuration:66e33251935910fe6c18c3aaafd50ad045d1f4946a1be1688da3a4b097bdf34d,single_GPU
task_02e4542ceffef12de844a17d56f2b4a6548619303c938d5280b32febeec0f99f,cik:0000804328,composition_required,47,0,1,0,1,0,provider_error,no_final,training_configuration:66e33251935910fe6c18c3aaafd50ad045d1f4946a1be1688da3a4b097bdf34d,single_GPU,first_final,PASS,training_configuration:66e33251935910fe6c18c3aaafd50ad045d1f4946a1be1688da3a4b097bdf34d,single_GPU,provider_error,no_final,training_configuration:9959a7beb582708e6e56e89a63d55e5cb44f2a2f524eadaef711ce1b3070e76d,8GPU_global_SUM
task_033a8ed16031e9b3e0ddc8b4858873f4f99fe083ef9e9c44a34072a3b11a9fe8,cik:0000731766,composition_required,11,1,0,0,-1,-1,first_final,PASS,training_configuration:66e33251935910fe6c18c3aaafd50ad045d1f4946a1be1688da3a4b097bdf34d,single_GPU,provider_error,no_final,training_configuration:66e33251935910fe6c18c3aaafd50ad045d1f4946a1be1688da3a4b097bdf34d,single_GPU,provider_error,no_final,training_configuration:66e33251935910fe6c18c3aaafd50ad045d1f4946a1be1688da3a4b097bdf34d,single_GPU
task_033a8ed16031e9b3e0ddc8b4858873f4f99fe083ef9e9c44a34072a3b11a9fe8,cik:0000731766,composition_required,29,1,1,0,0,-1,first_final,PASS,training_configuration:66e33251935910fe6c18c3aaafd50ad045d1f4946a1be1688da3a4b097bdf34d,single_GPU,first_final,PASS,training_configuration:66e33251935910fe6c18c3aaafd50ad045d1f4946a1be1688da3a4b097bdf34d,single_GPU,provider_error,no_final,training_configuration:66e33251935910fe6c18c3aaafd50ad045d1f4946a1be1688da3a4b097bdf34d,single_GPU
task_033a8ed16031e9b3e0ddc8b4858873f4f99fe083ef9e9c44a34072a3b11a9fe8,cik:0000731766,composition_required,47,0,0,0,0,0,response_budget_exhausted,no_final,training_configuration:66e33251935910fe6c18c3aaafd50ad045d1f4946a1be1688da3a4b097bdf34d,single_GPU,response_budget_exhausted,no_final,training_configuration:66e33251935910fe6c18c3aaafd50ad045d1f4946a1be1688da3a4b097bdf34d,single_GPU,provider_error,no_final,training_configuration:9959a7beb582708e6e56e89a63d55e5cb44f2a2f524eadaef711ce1b3070e76d,8GPU_global_SUM
task_0377f89839d2f032bfc0cf6904588d22ad539fbe3562783535b84c10662982ae,cik:0000804328,other_financial,11,0,0,0,0,0,response_budget_exhausted,no_final,training_configuration:66e33251935910fe6c18c3aaafd50ad045d1f4946a1be1688da3a4b097bdf34d,single_GPU,response_budget_exhausted,no_final,training_configuration:66e33251935910fe6c18c3aaafd50ad045d1f4946a1be1688da3a4b097bdf34d,single_GPU,response_budget_exhausted,no_final,training_configuration:66e33251935910fe6c18c3aaafd50ad045d1f4946a1be1688da3a4b097bdf34d,single_GPU
