model	package	whole_NLL	calculate_NLL	Final_NLL	whole_targets
B0	T_L1_01	1.0158471839493421	0.9960474365645627	1.059357739930709	259
B0	T_L1_03	0.7159555382112954	0.6879615920881966	0.7465089308370778	366
B0	T_L1_04	0.6666413503512887	0.814327247580078	0.4912643473921011	315
P_11	T_L1_01	0.7167494035670949	0.711934154849091	0.7273310612436961	259
P_11	T_L1_03	0.5393617120952672	0.5221002615223246	0.5582013524348788	366
P_11	T_L1_04	0.4545017356169136	0.5694753689503849	0.3179705460334164	315
Q_11	T_L1_01	0.7206369814428634	0.7176998080572135	0.7270915106113285	259
Q_11	T_L1_03	0.5327957013713086	0.5137120062279522	0.5536241914992006	366
Q_11	T_L1_04	0.45744351440985154	0.5713534899040918	0.32217541851044124	315
P_29	T_L1_01	0.7082644174065772	0.7035077062918939	0.7187174368931654	259
P_29	T_L1_03	0.5370468812983855	0.5188842263007548	0.5568701218957994	366
P_29	T_L1_04	0.4520259008419586	0.5636822614991961	0.31943397256148903	315
Q_29	T_L1_01	0.7208178807586071	0.7164292247528665	0.730462087783568	259
Q_29	T_L1_03	0.5339852652169221	0.5166567872082406	0.5528980612149688	366
Q_29	T_L1_04	0.455882654184923	0.5698181645687475	0.3205842356041315	315
P_47	T_L1_01	0.7060700003600703	0.701146138839539	0.7168903380224722	259
P_47	T_L1_03	0.5338173423402787	0.5172382774423976	0.5519122074573947	366
P_47	T_L1_04	0.4503336452877338	0.5607568973585644	0.3192060334536225	315
Q_47	T_L1_01	0.7132462838830086	0.7057776803056989	0.7296587707566025	259
Q_47	T_L1_03	0.5310666775553112	0.5138010115912826	0.549910918693194	366
Q_47	T_L1_04	0.4516986802345631	0.5633580294567004	0.319103203033275	315
